,time,latency
0,2020-04-28 19:54:40.133091,38.11117570614442
1,2020-04-28 19:54:40.405431,38.30343341222033
2,2020-04-28 19:54:40.525274,38.519980757962905
3,2020-04-28 19:54:41.511578,39.47408828279004
4,2020-04-28 19:54:42.384085,40.31995797017589
35,2020-04-28 20:21:09.640963,37.210346021689475
36,2020-04-28 20:21:10.394057,37.87903445912525
37,2020-04-28 20:21:11.779792,39.3069262090139
38,2020-04-28 20:21:13.418505,41.00433546723798
39,2020-04-28 20:21:13.427550,40.98095112061128
70,2020-04-28 20:47:27.623506,36.890205329749726
71,2020-04-28 20:47:29.592163,38.82685816893354
72,2020-04-28 20:47:29.617883,38.86835633125156
73,2020-04-28 20:47:29.635475,38.80515337083489
74,2020-04-28 20:47:30.426754,39.634978607296944
105,2020-04-28 21:13:51.284841,36.399128567893065
106,2020-04-28 21:13:52.903296,37.98557437490672
107,2020-04-28 21:13:53.385900,38.484047677833594
108,2020-04-28 21:13:54.623489,39.67950287507847
109,2020-04-28 21:13:55.272136,40.28986629471183
140,2020-04-28 21:40:31.224666,37.48329352308065
141,2020-04-28 21:40:32.239911,38.43987464206293
142,2020-04-28 21:40:32.603207,38.82958818832413
143,2020-04-28 21:40:32.624810,38.86717647826299
144,2020-04-28 21:40:32.757796,38.919557835441076
175,2020-04-28 22:07:19.459449,37.23689295304939
176,2020-04-28 22:07:19.765623,37.479967480059706
177,2020-04-28 22:07:19.841154,37.63469049613923
178,2020-04-28 22:07:20.464941,38.215621394570924
179,2020-04-28 22:07:21.450760,39.26087229093537
210,2020-04-28 22:34:07.837130,38.24213738273829
211,2020-04-28 22:34:08.332367,38.72160336002708
212,2020-04-28 22:34:09.115047,39.47767614014447
213,2020-04-28 22:34:09.138724,39.56026937905699
214,2020-04-28 22:34:09.317773,39.63473939988762
245,2020-04-28 23:00:47.366737,37.19535163603722
246,2020-04-28 23:00:48.038476,37.89955788897351
247,2020-04-28 23:00:49.156966,38.959603036753826
248,2020-04-28 23:00:49.946976,39.79170862212777
249,2020-04-28 23:00:49.974498,39.73153407918289
280,2020-04-28 23:27:20.731690,38.51575751556084
281,2020-04-28 23:27:21.269177,39.122136345133185
282,2020-04-28 23:27:21.337838,39.223706860095255
283,2020-04-28 23:27:21.673895,39.543184617999934
284,2020-04-28 23:27:21.886502,39.71297124121338
315,2020-04-28 23:53:51.496350,37.217282569035895
316,2020-04-28 23:53:52.427475,38.174849456176155
317,2020-04-28 23:53:52.467868,38.144882540684186
318,2020-04-28 23:53:52.535175,38.29852327192203
319,2020-04-28 23:53:53.297978,39.07782790530473
350,2020-04-29 00:20:06.471576,37.56010174425319
351,2020-04-29 00:20:06.734988,37.758893602993346
352,2020-04-29 00:20:07.919205,39.024195403326296
353,2020-04-29 00:20:08.030180,39.15179801592603
354,2020-04-29 00:20:08.538159,39.604473881889135
385,2020-04-29 00:46:40.564173,38.65278072329239
386,2020-04-29 00:46:42.740009,40.81252331798896
387,2020-04-29 00:46:42.762886,40.80859763827175
388,2020-04-29 00:46:42.782988,40.827866826672114
389,2020-04-29 00:46:42.806829,40.912398646119975
420,2020-04-29 01:13:14.879768,37.962236317805946
421,2020-04-29 01:13:15.726510,38.868103838991374
422,2020-04-29 01:13:15.825705,38.95077965781093
423,2020-04-29 01:13:16.184658,39.224389215931296
424,2020-04-29 01:13:16.769724,39.8787065600045
455,2020-04-29 01:39:55.907056,37.77676698705181
456,2020-04-29 01:39:56.868328,38.772002594079815
457,2020-04-29 01:39:56.929027,38.81573804141953
458,2020-04-29 01:39:57.088168,38.931610520929105
459,2020-04-29 01:39:57.453080,39.258181244600564
490,2020-04-29 02:06:46.592949,37.87562809605152
491,2020-04-29 02:06:47.024007,38.24801498791203
492,2020-04-29 02:06:47.819999,39.08639830816537
493,2020-04-29 02:06:47.947569,39.133328181225814
494,2020-04-29 02:06:48.263910,39.51431952510029
525,2020-04-29 02:33:39.415758,37.83149868808687
526,2020-04-29 02:33:39.979697,38.428045143838965
527,2020-04-29 02:33:39.990893,38.422700979281224
528,2020-04-29 02:33:40.341726,38.730775011703365
529,2020-04-29 02:33:40.444234,38.78926808433607
560,2020-04-29 03:52:52.652853,38.43261961778626
561,2020-04-29 03:52:52.674233,38.42117152316496
562,2020-04-29 03:52:53.383460,39.10043314471841
563,2020-04-29 03:52:53.868958,39.632206869777285
564,2020-04-29 03:52:53.881480,39.558529595844455
595,2020-04-29 04:24:49.065914,37.626779951620854
596,2020-04-29 04:24:49.191618,37.798685156274594
597,2020-04-29 04:24:50.482415,39.106346822343774
598,2020-04-29 04:24:50.501177,39.09237710386515
599,2020-04-29 04:24:51.015175,39.53612566413358
630,2020-04-29 04:52:29.127948,37.4416526821442
631,2020-04-29 04:52:29.905037,38.20280470419675
632,2020-04-29 04:52:29.949656,38.182763935998075
633,2020-04-29 04:52:30.300304,38.63058243598789
634,2020-04-29 04:52:30.992009,39.26325803110376
665,2020-04-29 05:19:04.958174,37.23388553410769
666,2020-04-29 05:19:05.491451,37.734683238901205
667,2020-04-29 05:19:06.681333,38.940612948033966
668,2020-04-29 05:19:07.066405,39.23942381702364
669,2020-04-29 05:19:07.109427,39.32207960821688
700,2020-04-29 05:45:37.709692,38.814627646002926
701,2020-04-29 05:45:38.460239,39.52521954616532
702,2020-04-29 05:45:38.487878,39.65535058407113
703,2020-04-29 05:45:38.542645,39.67777096806093
704,2020-04-29 05:45:38.678537,39.82946787122637
735,2020-04-29 06:11:59.216466,37.56728392699733
736,2020-04-29 06:11:59.323183,37.7064368617721
737,2020-04-29 06:11:59.999379,38.276416212785996
738,2020-04-29 06:12:00.013672,38.3804696239531
739,2020-04-29 06:12:00.483037,38.80404330231249
770,2020-04-29 06:38:37.172383,37.817061909940094
771,2020-04-29 06:38:37.882018,38.51033637439832
772,2020-04-29 06:38:38.481387,39.02941363863647
773,2020-04-29 06:38:39.065633,39.67798474105075
774,2020-04-29 06:38:39.559847,40.15001119999214
805,2020-04-29 07:05:03.343146,38.09829491982237
806,2020-04-29 07:05:04.144032,38.81306527601555
807,2020-04-29 07:05:04.172974,38.944871887099
808,2020-04-29 07:05:04.234219,38.973470855038606
809,2020-04-29 07:05:04.588304,39.297266824170954
840,2020-04-29 07:31:41.975926,37.39487899374217
841,2020-04-29 07:31:42.806789,38.16381816798821
842,2020-04-29 07:31:42.822461,38.139485547319055
843,2020-04-29 07:31:43.259164,38.66153773386032
844,2020-04-29 07:31:43.439474,38.82608785480261
875,2020-04-29 07:57:58.556909,38.56599166989327
876,2020-04-29 07:57:58.590659,38.55407110182568
877,2020-04-29 07:57:58.886774,38.81359330378473
878,2020-04-29 07:58:00.698685,40.70837586605922
879,2020-04-29 07:58:01.087483,41.096790845040225
910,2020-04-29 08:24:18.207152,37.4308000630699
911,2020-04-29 08:24:19.015771,38.29855251032859
912,2020-04-29 08:24:19.046055,38.23171592783183
913,2020-04-29 08:24:19.065489,38.33191158110276
914,2020-04-29 08:24:19.327767,38.577922252938144
945,2020-04-29 08:50:38.701768,37.9387544579804
946,2020-04-29 08:50:39.144823,38.44686425896362
947,2020-04-29 08:50:39.707136,39.04162976983935
948,2020-04-29 08:50:39.717841,39.035888844169676
949,2020-04-29 08:50:40.136951,39.41244581341744
980,2020-04-29 09:17:13.104121,38.004417445976294
981,2020-04-29 09:17:13.560447,38.445021718274795
982,2020-04-29 09:17:14.296293,39.154217464383684
983,2020-04-29 09:17:14.344274,39.261288356035955
984,2020-04-29 09:17:14.513365,39.32890960294753
1015,2020-04-29 09:43:30.608348,37.363524311222136
1016,2020-04-29 09:43:31.536504,38.27588640432805
