,50 MB,75 MB,100 MB
hao-us-east-1,34.32160528020026,45.807124590239084,58.35205059480352
hao-ap-southeast-2,35.33237331918396,44.66841280691056,56.6803291373492
hao-ap-northeast-1,30.51554873986007,40.36545535195802,53.61277551267188
hao-eu-west-2,33.58020770870397,43.1865323788751,56.18425536311
hao-sa-east-1,33.40981197487212,42.77193884298352,56.097637682978544
hao-ca-central-1,28.59277313724173,38.343336861586494,51.15852904359469
hao-us-west-1,29.20242708478321,39.09927466835921,52.012843338712415
