,50 MB,75 MB,100 MB
hao-us-east-1,30.284300937081035,43.20697675720342,54.389736654656076
hao-ap-southeast-2,31.40152440513597,41.77826030932699,53.15047222878867
hao-ap-northeast-1,28.65352902496246,38.926487541464766,51.463583219474415
hao-eu-west-2,29.44905062164161,39.72271542245805,51.819326062437604
hao-sa-east-1,30.25026011670981,40.70123086004412,52.94075124897965
hao-ca-central-1,27.3191773887775,37.38608905152297,49.681384338461655
hao-us-west-1,28.465466123664047,38.5198298857846,51.20912402926565
