,1 KB Split,10 KB Split,1 MB Split,10MB Split,50MB Split,1 KB Single,10 KB Single,1 MB Single,10 MB Single,50 MB Single
0,0.5909891128540039,0.7495789527893066,0.5315711498260498,1.1784439086914062,4.175534009933472,0.13649916648864746,0.16677403450012207,0.3058440685272217,0.5909891128540039,2.0233991146087646
1,0.6022758483886719,0.5563971996307373,0.42261624336242676,1.105747938156128,4.2385499477386475,0.11046481132507324,0.11574101448059082,0.2398240566253662,0.6022758483886719,1.9849939346313477
2,0.5773980617523193,0.8694939613342285,0.3781719207763672,1.1126961708068848,3.9815499782562256,0.1195530891418457,0.11662101745605469,0.20487093925476074,0.5773980617523193,1.9938921928405762
3,0.545781135559082,0.6984601020812988,0.45656394958496094,1.079699993133545,3.955254077911377,0.6561989784240723,0.1133270263671875,0.23882389068603516,0.545781135559082,2.3035199642181396
4,0.5359058380126953,0.7296848297119141,0.3533298969268799,1.052663803100586,4.169223070144653,0.12811899185180664,0.11770391464233398,0.2178959846496582,0.5359058380126953,2.1413540840148926
5,0.5715987682342529,0.5831890106201172,0.3447988033294678,1.1580920219421387,4.124934911727905,0.19019174575805664,0.1175999641418457,0.2677450180053711,0.5715987682342529,1.9680349826812744
6,0.6105000972747803,0.2574648857116699,0.34293127059936523,1.112238883972168,4.066944122314453,0.19321227073669434,0.15467619895935059,0.3053860664367676,0.6105000972747803,2.0140578746795654
7,0.5916180610656738,0.21490788459777832,0.40880608558654785,1.2752618789672852,4.010027170181274,0.14149689674377441,0.14129114151000977,0.21471214294433594,0.5916180610656738,2.038464069366455
8,0.6414768695831299,0.467771053314209,0.3214437961578369,1.0678460597991943,4.136311769485474,0.16582989692687988,0.11714482307434082,0.2600390911102295,0.6414768695831299,1.9864590167999268
9,0.6050879955291748,0.23392295837402344,0.5616469383239746,1.0987491607666016,5.061853885650635,0.26858019828796387,0.10260605812072754,0.2018260955810547,0.6050879955291748,2.0411407947540283
10,0.5450432300567627,0.22887802124023438,0.30948567390441895,1.059837818145752,6.041805744171143,0.11812305450439453,0.10788822174072266,0.20380806922912598,0.5450432300567627,1.9464669227600098
11,0.5318028926849365,0.2240738868713379,0.3038330078125,1.0498409271240234,4.082832098007202,0.12259316444396973,0.09918522834777832,0.20160317420959473,0.5318028926849365,2.886681079864502
12,0.5370938777923584,0.20827984809875488,0.29930877685546875,1.094547986984253,4.0123350620269775,0.11412310600280762,0.12241220474243164,0.21526288986206055,0.5370938777923584,1.9499800205230713
13,0.555577278137207,0.20531797409057617,0.3557119369506836,1.1153600215911865,3.9845800399780273,0.10590696334838867,0.12494087219238281,0.21344280242919922,0.555577278137207,1.9808330535888672
14,0.5775270462036133,0.22580504417419434,0.3443467617034912,1.162003993988037,3.9819300174713135,0.3199460506439209,0.11777997016906738,0.2404160499572754,0.5775270462036133,1.9172279834747314
