,time,latency
737,2020-04-29 05:16:45.180619,28.839153713081032
738,2020-04-29 05:16:45.230440,28.915181080810733
739,2020-04-29 05:16:45.400758,29.117911858018488
770,2020-04-29 05:42:22.997172,28.68289763480425
771,2020-04-29 05:42:23.277848,28.979682108853012
772,2020-04-29 05:42:23.897127,29.556727048009638
773,2020-04-29 05:42:24.010875,29.729161645751446
774,2020-04-29 05:42:24.207896,29.82910703402013
805,2020-04-29 06:07:45.368524,27.927864618133754
806,2020-04-29 06:07:45.914849,28.38398608425632
807,2020-04-29 06:07:46.097605,28.64067591028288
808,2020-04-29 06:07:47.466919,29.99418656015769
809,2020-04-29 06:07:47.479378,29.97661259490997
840,2020-04-29 06:33:19.919724,28.20018194802105
841,2020-04-29 06:33:20.083151,28.347171203233298
842,2020-04-29 06:33:20.236029,28.43899288214743
843,2020-04-29 06:33:21.114149,29.411193927284327
844,2020-04-29 06:33:21.377166,29.61847446998581
875,2020-04-29 06:58:46.278001,26.903578535653647
876,2020-04-29 06:58:48.414469,28.98107678908855
877,2020-04-29 06:58:48.889483,29.49861753592268
878,2020-04-29 06:58:48.898320,29.42267953278497
879,2020-04-29 06:58:49.199252,29.792133427690715
910,2020-04-29 07:24:12.915115,28.843132026027888
911,2020-04-29 07:24:13.036311,28.932257416658107
912,2020-04-29 07:24:13.146917,28.978613186161965
913,2020-04-29 07:24:14.353655,30.26537004671991
914,2020-04-29 07:24:14.884345,30.758164250291887
945,2020-04-29 07:49:32.890281,29.31389632262289
946,2020-04-29 07:49:33.026716,29.43463994236663
947,2020-04-29 07:49:33.042004,29.482144308276478
948,2020-04-29 07:49:33.134811,29.520471458323303
949,2020-04-29 07:49:33.183213,29.526789595838643
980,2020-04-29 08:14:54.407311,27.366676113102585
981,2020-04-29 08:14:55.540934,28.483988155145198
982,2020-04-29 08:14:56.262480,29.239061269909143
983,2020-04-29 08:14:56.426182,29.34164628805593
984,2020-04-29 08:14:57.227940,30.09645582828671
1015,2020-04-29 08:40:18.646789,27.54246755782515
1016,2020-04-29 08:40:18.669454,27.581720159854736
1017,2020-04-29 08:40:19.744956,28.677804289851338
1018,2020-04-29 08:40:20.179227,29.0531454179436
1019,2020-04-29 08:40:21.282561,30.114153530914336
1050,2020-04-29 09:05:49.457780,27.835141162853688
1051,2020-04-29 09:05:50.285531,28.646513218060136
1052,2020-04-29 09:05:52.070005,30.388710844796147
1053,2020-04-29 09:05:52.756076,31.032155164983124
